userId,username,date_joined,image_url,cover_image_url,about,gabss,followers,following
4271561,RealMikeLindell,2021-02-03T21:13:05.421Z,https://media.gab.com/system/accounts/avatars/004/271/561/original/20D6F3D4-3BBD-4BD2-BEFD-73C7CC9DE860.jpeg,https://media.gab.com/system/accounts/headers/004/271/561/original/99EE4765-56EE-418B-9F1C-576805B2951E.jpeg,"<p>Inventor and CEO of MyPillow, Author of &quot;What Are the Odds? From Crack Addict to CEO&quot;, Executive Producer, Creator of MyStore and Lindell Recovery Network</p>",674,323503,38
post_id,favourites_count,quotes_count,reblogs_count,replies_count
1,1726,6,429,82
2,358,1,69,15
3,1170,7,592,115
4,414,0,227,24
5,317,2,121,3
6,1410,13,614,77
7,137,2,45,9
8,496,2,184,27
9,1961,14,931,178
10,161,3,50,5
11,2640,20,847,179
12,916,17,354,135
13,2396,30,927,165
14,638,15,251,113
15,1260,10,640,135
16,1875,6,440,57
17,300,3,149,10
18,618,7,340,32
19,1505,23,990,142
20,547,1,203,31
